date,pm25,pm10,o3,no2,so2
2015-01-10,22.0,11.0,25.0,9.0,1.0
2015-01-11,23.0,21.0,16.0,18.0,4.0
2015-01-12,43.0,12.0,24.0,15.0,
2015-01-13,22.0,12.0,26.0,12.0,
2015-01-14,18.0,11.0,24.0,13.0,
2015-01-15,22.0,12.0,25.0,9.0,
2015-01-16,29.0,16.0,25.0,10.0,2.0
2015-01-17,31.0,10.0,25.0,8.0,
2015-01-18,24.0,12.0,19.0,16.0,
2015-01-19,24.0,12.0,18.0,16.0,2.0
2015-01-20,27.0,18.0,18.0,14.0,1.0
2015-01-21,38.0,33.0,11.0,22.0,4.0
2015-01-22,45.0,18.0,11.0,18.0,2.0
2015-01-23,48.0,9.0,21.0,11.0,1.0
2015-01-24,25.0,12.0,22.0,8.0,
2015-01-25,39.0,12.0,22.0,13.0,
2015-01-26,36.0,16.0,28.0,11.0,
2015-01-27,33.0,10.0,24.0,11.0,1.0
2015-01-28,23.0,12.0,23.0,9.0,
2015-01-29,38.0,17.0,21.0,11.0,
2015-01-30,48.0,15.0,18.0,9.0,1.0
2015-01-31,48.0,6.0,14.0,11.0,
2015-02-01,20.0,7.0,15.0,13.0,
2015-02-02,19.0,16.0,20.0,14.0,
2015-02-03,52.0,27.0,15.0,22.0,2.0
2015-02-04,71.0,18.0,20.0,17.0,1.0
2015-02-05,49.0,10.0,22.0,17.0,1.0
2015-02-06,22.0,8.0,28.0,13.0,
2015-02-07,16.0,46.0,31.0,12.0,1.0
2015-02-08,20.0,17.0,27.0,14.0,
2015-02-09,17.0,7.0,29.0,16.0,
2015-02-10,14.0,21.0,28.0,17.0,1.0
2015-02-11,16.0,12.0,23.0,14.0,1.0
2015-02-12,24.0,10.0,18.0,18.0,
2015-02-13,19.0,15.0,22.0,13.0,1.0
2015-02-14,42.0,52.0,28.0,19.0,1.0
2015-02-15,28.0,29.0,29.0,9.0,
2015-02-16,18.0,35.0,30.0,11.0,4.0
2015-02-17,32.0,21.0,31.0,16.0,2.0
2015-02-18,39.0,9.0,22.0,12.0,
2015-02-19,15.0,14.0,24.0,10.0,
2015-02-20,35.0,14.0,19.0,13.0,1.0
2015-02-21,38.0,18.0,30.0,8.0,
2015-02-22,49.0,12.0,30.0,12.0,1.0
2015-02-23,20.0,25.0,26.0,13.0,
2015-02-24,75.0,18.0,23.0,16.0,
2015-02-25,37.0,18.0,23.0,14.0,1.0
2015-02-26,33.0,21.0,25.0,15.0,
2015-02-27,45.0,21.0,25.0,15.0,
2015-02-28,51.0,20.0,23.0,10.0,
2015-03-01,55.0,21.0,22.0,11.0,
2015-03-02,59.0,11.0,19.0,16.0,
2015-03-03,30.0,5.0,24.0,10.0,1.0
2015-03-04,14.0,13.0,22.0,14.0,1.0
2015-03-05,18.0,11.0,27.0,13.0,1.0
2015-03-06,11.0,10.0,26.0,12.0,1.0
2015-03-07,19.0,19.0,23.0,8.0,1.0
2015-03-08,44.0,35.0,28.0,15.0,1.0
2015-03-09,36.0,20.0,26.0,14.0,1.0
2015-03-10,25.0,48.0,26.0,22.0,
2015-03-11,37.0,28.0,26.0,27.0,
2015-03-12,25.0,33.0,25.0,22.0,
2015-03-13,36.0,31.0,25.0,20.0,
2015-03-14,38.0,29.0,28.0,19.0,1.0
2015-03-15,46.0,35.0,28.0,23.0,
2015-03-16,55.0,38.0,22.0,31.0,
2015-03-17,67.0,58.0,24.0,45.0,
2015-03-18,85.0,45.0,32.0,33.0,
2015-03-19,69.0,22.0,29.0,16.0,
2015-03-20,33.0,44.0,33.0,21.0,
2015-03-21,25.0,27.0,30.0,15.0,2.0
2015-03-22,16.0,8.0,30.0,7.0,
2015-03-23,15.0,25.0,26.0,14.0,
2015-03-24,28.0,19.0,29.0,19.0,
2015-03-25,29.0,24.0,29.0,15.0,
2015-03-26,29.0,25.0,30.0,17.0,
2015-03-27,49.0,25.0,27.0,14.0,
2015-03-28,67.0,16.0,25.0,10.0,
2015-03-29,33.0,34.0,22.0,11.0,
2015-03-30,67.0,9.0,22.0,8.0,
2015-03-31,15.0,17.0,20.0,15.0,
2015-04-01,27.0,18.0,14.0,18.0,1.0
2015-04-02,32.0,22.0,16.0,19.0,
2015-04-03,29.0,17.0,25.0,15.0,
2015-04-04,31.0,21.0,28.0,13.0,
2015-04-05,42.0,33.0,30.0,18.0,
2015-04-06,44.0,22.0,26.0,15.0,
2015-04-07,33.0,36.0,30.0,9.0,
2015-04-08,22.0,29.0,31.0,12.0,
2015-04-09,24.0,26.0,33.0,11.0,
2015-04-10,28.0,21.0,32.0,14.0,
2015-04-11,32.0,20.0,32.0,12.0,1.0
2015-04-12,43.0,18.0,31.0,12.0,1.0
2015-04-13,21.0,17.0,29.0,10.0,
2015-04-14,12.0,23.0,30.0,13.0,
2015-04-15,17.0,15.0,29.0,12.0,
2015-04-16,17.0,17.0,26.0,19.0,
2015-04-17,23.0,28.0,30.0,21.0,
2015-04-18,30.0,20.0,31.0,16.0,1.0
2015-04-19,22.0,29.0,35.0,17.0,
2015-04-20,16.0,35.0,34.0,25.0,
2015-04-21,25.0,30.0,33.0,13.0,
2015-04-22,19.0,33.0,36.0,9.0,
2015-04-23,21.0,21.0,32.0,11.0,
2015-04-24,21.0,20.0,29.0,14.0,1.0
2015-04-25,19.0,17.0,29.0,14.0,1.0
2015-04-26,31.0,18.0,24.0,17.0,
2015-04-27,28.0,24.0,26.0,17.0,
2015-04-28,35.0,16.0,25.0,23.0,
2015-04-29,22.0,14.0,25.0,16.0,1.0
2015-04-30,25.0,37.0,32.0,18.0,1.0
2015-05-01,37.0,17.0,31.0,13.0,1.0
2015-05-02,20.0,11.0,31.0,8.0,1.0
2015-05-03,20.0,23.0,27.0,14.0,
2015-05-04,16.0,33.0,29.0,16.0,1.0
2015-05-05,34.0,26.0,31.0,16.0,1.0
2015-05-06,48.0,25.0,27.0,22.0,
2015-05-07,41.0,18.0,32.0,14.0,1.0
2015-05-08,30.0,16.0,31.0,8.0,1.0
